order_id,date,region,sales_channel,customer_segment,category,product_name,unit_price,quantity,discount_pct,discount_amount,revenue,cost,profit,profit_margin_pct,customer_satisfaction,returned
ORD-10173,2023-01-16,West,Wholesale,Budget,Electronics,Laptop,1364.43,1,0.0,0.0,1364.43,836.49,527.94,38.69,3.0,False
ORD-10715,2023-01-16,West,Direct Sales,Premium,Electronics,Tablet,973.51,1,0.0,0.0,973.51,517.25,456.26,46.87,4.0,False
ORD-10658,2023-01-17,East,Retail,Standard,Beauty,Lipstick,139.67,1,0.0,0.0,139.67,89.43,50.24,35.97,3.0,False
ORD-10008,2023-01-17,South,Wholesale,Premium,Beauty,Sunscreen,145.19,2,5.0,14.52,275.86,157.21,118.65,43.01,4.0,False
ORD-10573,2023-01-17,North,Wholesale,Premium,Clothing,Jeans,122.49,1,0.0,0.0,122.49,62.52,59.97,48.96,4.0,False
ORD-10522,2023-01-17,North,Online,Premium,Electronics,Smart Watch,256.61,1,0.0,0.0,256.61,176.64,79.97,31.16,3.0,False
ORD-10613,2023-01-18,South,Wholesale,Standard,Sports,Bicycle,429.72,1,15.0,64.46,365.26,214.9,150.36,41.17,2.0,False
ORD-11143,2023-01-18,Central,Direct Sales,Premium,Books,Business Strategy,12.79,1,10.0,1.28,11.51,6.68,4.83,41.96,4.0,False
ORD-10511,2023-01-18,South,Direct Sales,Standard,Electronics,Laptop,906.59,1,5.0,45.33,861.26,529.55,331.71,38.51,4.0,False
ORD-10107,2023-01-18,North,Online,Standard,Beauty,Perfume,91.67,4,25.0,91.67,275.01,206.24,68.77,25.01,4.0,False
ORD-11094,2023-01-19,West,Wholesale,Premium,Sports,Running Shoes,442.09,1,20.0,88.42,353.67,253.02,100.65,28.46,3.0,False
ORD-10377,2023-01-19,East,Direct Sales,Standard,Books,Self Help,42.54,1,20.0,8.51,34.03,23.28,10.75,31.59,3.0,False
ORD-10575,2023-01-19,South,Direct Sales,Budget,Sports,Tennis Racket,579.32,2,15.0,173.8,984.84,772.4,212.44,21.57,3.0,True
ORD-11177,2023-01-20,South,Wholesale,Standard,Home & Garden,Coffee Maker,543.35,1,20.0,108.67,434.68,342.71,91.97,21.16,4.0,False
ORD-10337,2023-01-20,West,Wholesale,Premium,Sports,Yoga Mat,506.92,3,25.0,380.19,1140.57,996.06,144.51,12.67,3.0,True
ORD-10724,2023-01-20,South,Online,Budget,Electronics,Tablet,1113.97,1,15.0,167.1,946.87,567.88,378.99,40.03,4.0,False
ORD-10814,2023-01-21,North,Online,Standard,Sports,Bicycle,360.33,1,10.0,36.03,324.3,200.52,123.78,38.17,3.0,False
ORD-10961,2023-01-21,North,Direct Sales,Standard,Sports,Yoga Mat,406.7,4,0.0,0.0,1626.8,756.67,870.13,53.49,3.0,False
ORD-10394,2023-01-21,East,Direct Sales,Standard,Sports,Yoga Mat,393.56,2,0.0,0.0,787.12,385.5,401.62,51.02,5.0,False
ORD-10426,2023-01-21,East,Direct Sales,Budget,Home & Garden,Coffee Maker,784.58,1,0.0,0.0,784.58,490.15,294.43,37.53,4.0,False
ORD-10430,2023-01-21,West,Retail,Budget,Beauty,Lipstick,27.01,1,5.0,1.35,25.66,19.34,6.32,24.63,2.0,False
ORD-11049,2023-01-21,South,Online,Budget,Home & Garden,Lamp,469.12,1,25.0,117.28,351.84,315.57,36.27,10.31,2.0,False
ORD-10662,2023-01-21,Central,Online,Standard,Sports,Yoga Mat,596.12,1,0.0,0.0,596.12,404.35,191.77,32.17,2.0,False
ORD-10562,2023-01-22,Central,Online,Standard,Sports,Running Shoes,315.64,4,25.0,315.64,946.92,713.68,233.24,24.63,2.0,False
ORD-10690,2023-01-22,South,Direct Sales,Standard,Clothing,Jeans,151.22,2,25.0,75.61,226.83,160.97,65.86,29.03,3.0,False
ORD-10137,2023-01-22,Central,Wholesale,Premium,Sports,Yoga Mat,297.53,1,20.0,59.51,238.02,149.27,88.75,37.29,3.0,False
ORD-10167,2023-01-22,East,Retail,Premium,Books,Business Strategy,19.06,1,5.0,0.95,18.11,12.81,5.3,29.27,3.0,False
ORD-10035,2023-01-22,East,Retail,Standard,Sports,Running Shoes,314.04,1,0.0,0.0,314.04,167.57,146.47,46.64,3.0,False
ORD-10164,2023-01-23,Central,Online,Standard,Electronics,Smart Watch,604.42,1,25.0,151.1,453.32,283.48,169.84,37.47,3.0,False
ORD-10568,2023-01-23,South,Direct Sales,Budget,Sports,Tennis Racket,343.38,1,20.0,68.68,274.7,233.01,41.69,15.18,3.0,False
ORD-10861,2023-01-23,West,Retail,Budget,Clothing,Jacket,90.58,2,15.0,27.17,153.99,88.34,65.65,42.63,3.0,False
ORD-10452,2023-01-24,East,Direct Sales,Standard,Clothing,Sneakers,68.57,2,25.0,34.28,102.86,82.21,20.65,20.08,4.0,False
ORD-10411,2023-01-24,Central,Wholesale,Budget,Home & Garden,Plant Pot,396.53,1,0.0,0.0,396.53,225.37,171.16,43.16,3.0,False
ORD-10794,2023-01-24,West,Wholesale,Standard,Sports,Yoga Mat,599.36,1,15.0,89.9,509.46,404.24,105.22,20.65,4.0,False
ORD-10196,2023-01-24,Central,Direct Sales,Budget,Clothing,Jeans,184.67,1,0.0,0.0,184.67,115.27,69.4,37.58,2.0,True
ORD-11097,2023-01-25,Central,Online,Premium,Electronics,Tablet,164.47,1,5.0,8.22,156.25,122.16,34.09,21.82,3.0,False
ORD-10727,2023-01-25,Central,Retail,Standard,Books,Business Strategy,40.34,1,10.0,4.03,36.31,19.14,17.17,47.29,3.0,False
ORD-10899,2023-01-25,East,Direct Sales,Premium,Electronics,Headphones,194.09,1,0.0,0.0,194.09,111.08,83.01,42.77,5.0,False
ORD-10128,2023-01-27,West,Wholesale,Budget,Home & Garden,Coffee Maker,611.46,1,20.0,122.29,489.17,404.31,84.86,17.35,3.0,False
ORD-10990,2023-01-27,Central,Online,Budget,Clothing,Jacket,85.67,1,5.0,4.28,81.39,50.53,30.86,37.92,4.0,False
ORD-10120,2023-01-27,East,Online,Premium,Clothing,Sneakers,170.9,1,10.0,17.09,153.81,98.17,55.64,36.17,3.0,False
ORD-10252,2023-01-28,South,Online,Budget,Home & Garden,Lamp,635.49,1,15.0,95.32,540.17,365.58,174.59,32.32,5.0,False
ORD-10762,2023-01-28,East,Direct Sales,Premium,Books,Python Guide,46.17,1,25.0,11.54,34.63,32.36,2.27,6.56,4.0,False
ORD-10653,2023-01-28,South,Retail,Budget,Books,Novel,55.39,3,0.0,0.0,166.17,122.64,43.53,26.2,3.0,False
ORD-10434,2023-01-28,East,Online,Premium,Electronics,Headphones,389.53,1,0.0,0.0,389.53,290.36,99.17,25.46,3.0,False
ORD-11056,2023-01-28,East,Direct Sales,Standard,Books,Business Strategy,18.72,1,5.0,0.94,17.78,8.94,8.84,49.72,,False
ORD-11169,2023-01-28,South,Wholesale,Standard,Sports,Dumbbell Set,272.45,1,0.0,0.0,272.45,180.36,92.09,33.8,4.0,False
ORD-10866,2023-01-28,East,Retail,Standard,Clothing,Sneakers,187.98,1,5.0,9.4,178.58,119.07,59.51,33.32,2.0,False
ORD-10641,2023-01-29,West,Online,Premium,Books,Cook Book,41.8,1,15.0,6.27,35.53,27.26,8.27,23.28,3.0,False
ORD-11018,2023-01-29,East,Direct Sales,Premium,Clothing,Jacket,125.84,1,5.0,6.29,119.55,86.82,32.73,27.38,4.0,False
ORD-10628,2023-01-30,South,Online,Premium,Home & Garden,Sofa,37.64,1,0.0,0.0,37.64,27.82,9.82,26.09,5.0,False
ORD-10025,2023-01-30,South,Retail,Standard,Sports,Bicycle,459.44,1,5.0,22.97,436.47,217.36,219.11,50.2,2.0,False
ORD-10308,2023-01-30,East,Direct Sales,Budget,Beauty,Face Cream,21.43,1,5.0,1.07,20.36,11.23,9.13,44.84,2.0,False
ORD-10367,2023-01-30,North,Retail,Premium,Sports,Tennis Racket,79.93,1,5.0,4.0,75.93,46.8,29.13,38.36,3.0,False
ORD-10026,2023-01-30,Central,Direct Sales,Budget,Electronics,Laptop,541.16,1,0.0,0.0,541.16,394.46,146.7,27.11,4.0,False
ORD-11166,2023-01-30,Central,Online,Premium,Beauty,Sunscreen,26.71,1,5.0,1.34,25.37,18.56,6.81,26.84,2.0,True
ORD-10546,2023-01-31,Central,Online,Standard,Electronics,Headphones,1421.33,1,0.0,0.0,1421.33,928.98,492.35,34.64,4.0,False
ORD-11029,2023-01-31,Central,Direct Sales,Premium,Electronics,Tablet,211.54,3,0.0,0.0,634.62,445.92,188.7,29.73,4.0,False
ORD-11034,2023-01-31,North,Wholesale,Premium,Home & Garden,Lamp,346.31,1,0.0,0.0,346.31,199.0,147.31,42.54,3.0,False
ORD-10928,2023-01-31,Central,Retail,Premium,Electronics,Headphones,563.68,1,5.0,28.18,535.5,353.15,182.35,34.05,4.0,False
ORD-10810,2023-02-01,West,Direct Sales,Premium,Electronics,Smartphone,764.48,1,0.0,0.0,764.48,536.06,228.42,29.88,4.0,False
ORD-10327,2023-02-01,North,Retail,Premium,Electronics,Headphones,1237.65,1,0.0,0.0,1237.65,879.33,358.32,28.95,3.0,False
ORD-11182,2023-02-01,East,Online,Budget,Books,Cook Book,35.12,1,5.0,1.76,33.36,23.57,9.79,29.35,3.0,False
ORD-10220,2023-02-01,Central,Wholesale,Premium,Sports,Bicycle,143.69,1,0.0,0.0,143.69,70.56,73.13,50.89,5.0,False
ORD-10607,2023-02-01,Central,Direct Sales,Premium,Sports,Running Shoes,183.8,1,10.0,18.38,165.42,86.17,79.25,47.91,3.0,False
ORD-10122,2023-02-01,East,Direct Sales,Budget,Beauty,Sunscreen,149.53,1,0.0,0.0,149.53,101.78,47.75,31.93,3.0,False
ORD-10995,2023-02-01,South,Wholesale,Standard,Beauty,Perfume,145.71,1,25.0,36.43,109.28,68.28,41.0,37.52,3.0,False
ORD-10402,2023-02-02,North,Direct Sales,Standard,Books,Novel,44.61,1,0.0,0.0,44.61,26.89,17.72,39.72,2.0,False
ORD-10959,2023-02-02,Central,Retail,Premium,Books,Self Help,14.08,1,15.0,2.11,11.97,6.45,5.52,46.12,3.0,False
ORD-10793,2023-02-02,South,Retail,Budget,Home & Garden,Sofa,474.06,1,0.0,0.0,474.06,226.83,247.23,52.15,4.0,False
ORD-10828,2023-02-03,East,Direct Sales,Budget,Home & Garden,Coffee Maker,143.13,1,20.0,28.63,114.5,101.54,12.96,11.32,2.0,False
ORD-10328,2023-02-03,North,Wholesale,Premium,Books,Self Help,20.29,1,0.0,0.0,20.29,10.77,9.52,46.92,3.0,False
ORD-10180,2023-02-03,West,Retail,Budget,Sports,Dumbbell Set,98.31,1,0.0,0.0,98.31,67.75,30.56,31.09,3.0,False
ORD-10366,2023-02-03,Central,Wholesale,Premium,Books,Novel,49.03,1,0.0,0.0,49.03,34.16,14.87,30.33,5.0,False
ORD-10243,2023-02-04,North,Direct Sales,Premium,Beauty,Face Cream,96.22,1,5.0,4.81,91.41,44.0,47.41,51.87,,False
ORD-10092,2023-02-05,West,Retail,Budget,Sports,Yoga Mat,518.59,1,0.0,0.0,518.59,350.18,168.41,32.47,3.0,False
ORD-10506,2023-02-05,East,Wholesale,Standard,Sports,Dumbbell Set,413.8,1,5.0,20.69,393.11,271.41,121.7,30.96,3.0,False
ORD-10030,2023-02-05,Central,Wholesale,Premium,Sports,Yoga Mat,495.36,2,15.0,148.61,842.11,447.89,394.22,46.81,1.0,False
ORD-11057,2023-02-05,East,Retail,Premium,Books,Self Help,30.37,1,0.0,0.0,30.37,21.84,8.53,28.09,5.0,False
ORD-10064,2023-02-05,Central,Direct Sales,Budget,Electronics,Tablet,635.31,1,15.0,95.3,540.01,440.15,99.86,18.49,4.0,False
ORD-11155,2023-02-06,North,Direct Sales,Standard,Sports,Yoga Mat,233.87,2,20.0,93.55,374.19,342.52,31.67,8.46,3.0,False
ORD-11014,2023-02-06,Central,Retail,Premium,Clothing,Dress,35.5,2,0.0,0.0,71.0,37.92,33.08,46.59,3.0,False
ORD-10642,2023-02-06,West,Retail,Budget,Clothing,Sneakers,66.78,1,5.0,3.34,63.44,48.43,15.01,23.66,3.0,True
ORD-10525,2023-02-06,Central,Wholesale,Budget,Home & Garden,Coffee Maker,668.55,2,0.0,0.0,1337.1,831.05,506.05,37.85,4.0,False
ORD-10757,2023-02-07,West,Direct Sales,Budget,Beauty,Perfume,26.41,1,10.0,2.64,23.77,13.02,10.75,45.23,3.0,True
ORD-10194,2023-02-07,Central,Retail,Standard,Books,Business Strategy,46.88,1,10.0,4.69,42.19,24.25,17.94,42.52,2.0,False
ORD-10427,2023-02-07,East,Direct Sales,Budget,Beauty,Sunscreen,101.91,1,15.0,15.29,86.62,56.2,30.42,35.12,4.0,False
ORD-10187,2023-02-07,South,Direct Sales,Standard,Home & Garden,Lamp,147.46,1,25.0,36.87,110.59,93.2,17.39,15.72,4.0,False
ORD-11157,2023-02-08,East,Online,Premium,Home & Garden,Lamp,69.47,1,10.0,6.95,62.52,45.3,17.22,27.54,4.0,False
ORD-10405,2023-02-08,South,Direct Sales,Standard,Electronics,Laptop,709.08,2,0.0,0.0,1418.16,950.29,467.87,32.99,2.0,False
ORD-10097,2023-02-08,South,Direct Sales,Budget,Books,Business Strategy,47.62,2,0.0,0.0,95.24,65.42,29.82,31.31,2.0,False
ORD-11021,2023-02-09,South,Online,Standard,Clothing,T-Shirt,132.62,1,15.0,19.89,112.73,67.03,45.7,40.54,4.0,False
ORD-10699,2023-02-09,Central,Online,Standard,Sports,Tennis Racket,526.06,1,,131.51,394.55,362.46,32.09,8.13,2.0,True
ORD-11060,2023-02-09,East,Direct Sales,Premium,Beauty,Shampoo,114.98,3,5.0,17.25,327.69,214.43,113.26,34.56,3.0,False
ORD-10929,2023-02-10,Central,Online,Budget,Books,Novel,37.21,1,0.0,0.0,37.21,24.66,12.55,33.73,3.0,False
ORD-10775,2023-02-10,North,Wholesale,Standard,Beauty,Sunscreen,115.24,2,20.0,46.1,184.38,139.53,44.85,24.32,4.0,False
ORD-10170,2023-02-10,East,Wholesale,Premium,Books,Novel,43.26,1,20.0,8.65,34.61,24.12,10.49,30.31,3.0,False
ORD-10160,2023-02-10,West,Direct Sales,Budget,Books,Python Guide,38.58,1,0.0,0.0,38.58,26.27,12.31,31.91,3.0,True
ORD-10895,2023-02-12,West,Direct Sales,Standard,Clothing,Jacket,79.07,1,0.0,0.0,79.07,37.59,41.48,52.46,3.0,False
ORD-10957,2023-02-12,East,Online,Premium,Beauty,Shampoo,16.3,1,0.0,0.0,16.3,9.0,7.3,44.79,4.0,False
ORD-10966,2023-02-12,West,Retail,Standard,Home & Garden,Sofa,639.99,1,25.0,160.0,479.99,418.48,61.51,12.81,3.0,False
ORD-10306,2023-02-12,Central,Direct Sales,Standard,Sports,Dumbbell Set,71.07,2,20.0,28.43,113.71,87.31,26.4,23.22,3.0,False
ORD-10538,2023-02-12,West,Retail,Premium,Books,Self Help,34.68,1,15.0,5.2,29.48,25.94,3.54,12.01,3.0,False
ORD-10778,2023-02-12,South,Retail,Standard,Electronics,Headphones,1376.11,2,0.0,0.0,2752.22,1731.55,1020.67,37.09,4.0,False
ORD-10270,2023-02-13,West,Online,Standard,Home & Garden,Coffee Maker,665.88,1,20.0,133.18,532.7,366.59,166.11,31.18,3.0,True
ORD-10355,2023-02-13,North,Retail,Budget,Home & Garden,Plant Pot,743.82,1,0.0,0.0,743.82,543.23,200.59,26.97,4.0,False
ORD-10015,2023-02-13,North,Retail,Budget,Home & Garden,Blender,304.7,1,0.0,0.0,304.7,186.72,117.98,38.72,3.0,False
ORD-10254,2023-02-13,West,Direct Sales,Premium,Home & Garden,Plant Pot,755.9,1,20.0,151.18,604.72,477.97,126.75,20.96,2.0,False
ORD-10256,2023-02-14,East,Wholesale,Premium,Home & Garden,Lamp,630.28,1,0.0,0.0,630.28,294.56,335.72,53.27,3.0,False
ORD-10316,2023-02-14,West,Wholesale,Standard,Books,Business Strategy,55.04,1,15.0,8.26,46.78,29.34,17.44,37.28,,False
ORD-10938,2023-02-14,Central,Online,Premium,Sports,Tennis Racket,415.83,1,25.0,103.96,311.87,191.45,120.42,38.61,5.0,False
ORD-11067,2023-02-15,East,Online,Premium,Beauty,Shampoo,105.07,3,0.0,0.0,315.21,236.12,79.09,25.09,4.0,False
ORD-10994,2023-02-16,West,Online,Budget,Clothing,Jeans,156.13,1,5.0,7.81,148.32,89.57,58.75,39.61,3.0,False
ORD-10824,2023-02-16,Central,Wholesale,Standard,Books,Business Strategy,58.65,2,10.0,11.73,105.57,86.84,18.73,17.74,2.0,True
ORD-10912,2023-02-16,North,Retail,Premium,Electronics,Smartphone,1064.54,1,0.0,0.0,1064.54,712.66,351.88,33.05,3.0,False
ORD-10191,2023-02-16,West,Wholesale,Standard,Sports,Bicycle,254.43,1,0.0,0.0,254.43,140.08,114.35,44.94,4.0,False
ORD-10976,2023-02-16,North,Wholesale,Standard,Clothing,Jacket,63.25,1,15.0,9.49,53.76,34.44,19.32,35.94,3.0,False
ORD-10428,2023-02-17,North,Retail,Standard,Clothing,Sneakers,187.06,1,20.0,37.41,149.65,105.06,44.59,29.8,2.0,False
ORD-10597,2023-02-17,North,Direct Sales,Budget,Beauty,Sunscreen,51.34,1,0.0,0.0,51.34,27.43,23.91,46.57,3.0,False
ORD-10247,2023-02-17,East,Online,Budget,Clothing,Jeans,197.14,2,0.0,0.0,394.28,226.84,167.44,42.47,4.0,False
ORD-10090,2023-02-17,East,Online,Budget,Clothing,Jeans,70.77,1,20.0,14.15,56.62,47.78,8.84,15.61,2.0,False
ORD-10683,2023-02-17,West,Retail,Standard,Home & Garden,Coffee Maker,724.49,2,15.0,217.35,1231.63,1080.15,151.48,12.3,2.0,False
ORD-11113,2023-02-18,Central,Wholesale,Budget,Home & Garden,Sofa,791.41,1,0.0,0.0,791.41,590.45,200.96,25.39,5.0,False
ORD-10971,2023-02-18,South,Wholesale,Budget,Electronics,Laptop,692.74,1,25.0,173.19,519.55,473.8,45.75,8.81,4.0,False
ORD-10848,2023-02-18,Central,Retail,Premium,Electronics,Tablet,487.05,1,25.0,121.76,365.29,219.27,146.02,39.97,4.0,False
ORD-10020,2023-02-18,South,Direct Sales,Standard,Sports,Bicycle,444.52,1,5.0,22.23,422.29,318.35,103.94,24.61,2.0,True
ORD-10696,2023-02-18,North,Retail,Budget,Home & Garden,Plant Pot,450.75,4,0.0,0.0,1803.0,839.3,963.7,53.45,5.0,False
ORD-10624,2023-02-19,West,Wholesale,Budget,Home & Garden,Lamp,313.2,1,0.0,0.0,313.2,151.42,161.78,51.65,2.0,False
ORD-10926,2023-02-19,North,Retail,Standard,Beauty,Lipstick,17.09,1,0.0,0.0,17.09,10.63,6.46,37.8,3.0,True
ORD-10874,2023-02-20,Central,Online,Standard,Sports,Tennis Racket,166.83,1,5.0,8.34,158.49,108.2,50.29,31.73,4.0,False
ORD-10268,2023-02-20,East,Direct Sales,Premium,Sports,Bicycle,426.05,1,0.0,0.0,426.05,270.79,155.26,36.44,3.0,False
ORD-10797,2023-02-20,East,Direct Sales,Budget,Home & Garden,Blender,465.96,1,25.0,116.49,349.47,301.15,48.32,13.83,3.0,False
ORD-10625,2023-02-20,East,Wholesale,Standard,Books,Cook Book,51.77,1,10.0,5.18,46.59,29.18,17.41,37.37,3.0,False
ORD-10096,2023-02-21,West,Online,Premium,Books,Python Guide,41.59,1,15.0,6.24,35.35,22.37,12.98,36.72,4.0,False
ORD-10933,2023-02-21,West,Online,Standard,Home & Garden,Lamp,700.43,1,15.0,105.06,595.37,359.56,235.81,39.61,3.0,True
ORD-10984,2023-02-21,South,Direct Sales,Standard,Electronics,Tablet,319.49,4,0.0,0.0,1277.96,616.5,661.46,51.76,5.0,False
ORD-10146,2023-02-22,Central,Retail,Premium,Sports,Bicycle,435.18,2,25.0,217.59,652.77,525.27,127.5,19.53,3.0,False
ORD-10883,2023-02-23,West,Wholesale,Premium,Home & Garden,Plant Pot,724.86,1,0.0,0.0,724.86,485.58,239.28,33.01,2.0,False
ORD-10319,2023-02-23,North,Direct Sales,Budget,Electronics,Tablet,814.58,1,10.0,81.46,733.12,579.35,153.77,20.97,3.0,False
ORD-10498,2023-02-23,North,Online,Standard,Books,Cook Book,45.97,2,0.0,0.0,91.94,43.56,48.38,52.62,3.0,False
ORD-10644,2023-02-24,Central,Retail,Budget,Electronics,Headphones,348.86,1,0.0,0.0,348.86,223.02,125.84,36.07,2.0,True
ORD-10739,2023-02-24,South,Direct Sales,Premium,Sports,Bicycle,531.97,2,0.0,0.0,1063.94,697.46,366.48,34.45,2.0,False
